	HMDB (*Representative ID)	Metabolite	Method	Pooled QC sample CV	RT	m/z
C18n_QI13625			C18-neg	0.075662578	10.12	761.6061
C18n_QI13717			C18-neg	0.028109235	10.12	783.5788
C18n_QI13784			C18-neg	0.02192806	10.12	805.5603
C18n_QI7812			C18-neg	0.058565465	10.13	423.2759
C18n_QI9946			C18-neg	0.024345202	10.13	491.3018
C18n_QI11342			C18-neg	0.078751593	10.13	540.2963
C18n_QI11410			C18-neg	0.031822429	10.13	542.3121
C18n_QI12245			C18-neg	0.126253311	10.13	586.3415
C18n_QI9952			C18-neg	0.19199241	10.14	491.3378
C18n_QI10917			C18-neg	0.0257446	10.14	523.3639
C18n_QI13868			C18-neg	0.035519744	10.14	827.6415
C18n_QI8578			C18-neg	0.105002249	10.15	449.2441
C18n_QI9314			C18-neg	0.098814536	10.15	471.3241
C18n_QI9624			C18-neg	0.02583083	10.15	481.3535
C18n_QI12920			C18-neg	0.429860968	10.15	637.2319
C18n_QI13924			C18-neg	0.199390514	10.15	841.6195
C18n_QI9447			C18-neg	0.067804877	10.16	476.2626
C18n_QI9830			C18-neg	0.022444529	10.16	487.2732
C18n_QI9882			C18-neg	0.235585321	10.16	489.281
C18n_QI10092			C18-neg	0.673911412	10.16	495.3685
C18n_QI10253			C18-neg	0.10004197	10.16	501.3221
C18n_QI10301			C18-neg	0.081429348	10.16	503.3139
C18n_QI10385			C18-neg	0.055380589	10.16	505.354
C18n_QI11877			C18-neg	0.215887553	10.16	565.3742
C18n_QI13462			C18-neg	0.327054036	10.16	721.3649
C18n_QI2786			C18-neg	0.094117992	10.17	263.1652
C18n_QI6214			C18-neg	0.023893916	10.17	375.2177
C18n_QI7143			C18-neg	0.095916876	10.17	403.1766
C18n_QI8858			C18-neg	0.14229536	10.17	457.2827
C18n_QI8869			C18-neg	0.187068125	10.17	457.3088
C18n_QI10269			C18-neg	0.078952156	10.17	502.2849
C18n_QI11551			C18-neg	0.081933971	10.17	549.3792
C18n_QI12103			C18-neg	0.108613275	10.17	577.3641
C18n_QI13916			C18-neg	0.181580455	10.17	839.6049
C18n_QI8516			C18-neg	0.05382043	10.18	447.3117
C18n_QI10708			C18-neg	0.056803386	10.18	517.3162
C18n_QI10964			C18-neg	0.142212239	10.18	525.3797
C18n_QI12147			C18-neg	0.169873889	10.18	580.3677
C18n_QI13262			C18-neg	0.117053251	10.18	680.2714
C18n_QI13271			C18-neg	0.059428662	10.18	682.2868
C18n_QI13404			C18-neg	0.03113853	10.18	709.505
C18n_QI13601			C18-neg	0.204797536	10.18	753.5669
C18n_QI4204			C18-neg	0.035845835	10.19	311.223
C18n_QI4440			C18-neg	0.022837667	10.19	317.2122
C18n_QI7126			C18-neg	0.211865211	10.19	402.1894
C18n_QI8107			C18-neg	0.21199913	10.19	433.2961
C18n_QI8900			C18-neg	0.019608272	10.19	459.273
C18n_QI9363			C18-neg	0.060646381	10.19	473.2892
C18n_QI9548			C18-neg	0.115612096	10.19	479.3016
C18n_QI10041			C18-neg	0.056552585	10.19	493.3537
C18n_QI10523			C18-neg	0.058530082	10.19	511.2734
C18n_QI13510			C18-neg	0.074999076	10.19	731.4871
C18n_QI13834			C18-neg	0.230933818	10.19	816.5413
C18n_QI4501			C18-neg	0.197803688	10.2	319.2187
C18n_QI5835			C18-neg	0.068112242	10.2	363.2179
C18n_QI6461			C18-neg	0.054897655	10.2	383.1766
C18n_QI6539			C18-neg	0.03332121	10.2	385.1998
C18n_QI7119			C18-neg	0.07703224	10.2	401.2907
C18n_QI7463			C18-neg	0.063493036	10.2	413.2002
C18n_QI7754			C18-neg	0.049754917	10.2	421.26
C18n_QI7828			C18-neg	0.025544475	10.2	424.2472
C18n_QI9176			C18-neg	0.039264538	10.2	467.3378
C18n_QI10805			C18-neg	0.13085903	10.2	520.3356
C18n_QI10813			C18-neg	0.06089934	10.2	521.243
C18n_QI11197			C18-neg	0.041959706	10.2	535.3105
C18n_QI5343			C18-neg	0.130864568	10.21	347.1995
C18n_QI6644			C18-neg	0.050572779	10.21	387.2756
C18n_QI7859			C18-neg	0.025337767	10.21	425.2912
C18n_QI10275			C18-neg	0.556422626	10.21	502.3254
C18n_QI11000			C18-neg	0.041589768	10.21	527.2602
C18n_QI11486			C18-neg	0.078778899	10.21	545.3462
C18n_QI11875			C18-neg	0.107861771	10.21	565.374
C18n_QI12942			C18-neg	0.14582932	10.21	639.2293
C18n_QI4088			C18-neg	0.089836489	10.22	308.1376
C18n_QI6204			C18-neg	0.049820832	10.22	375.1815
C18n_QI9843			C18-neg	0.051473634	10.22	487.3429
C18n_QI10574			C18-neg	0.189062357	10.22	513.2885
C18n_QI12385			C18-neg	0.119409833	10.22	595.247
C18n_QI12902			C18-neg	0.057158138	10.22	635.4889
C18n_QI2259			C18-neg	0.031543189	10.23	243.1964
C18n_QI3267			C18-neg	0.162193121	10.23	280.1246
C18n_QI4861			C18-neg	0.155862156	10.23	331.2282
C18n_QI8503			C18-neg	0.068474919	10.23	447.2749
C18n_QI8610			C18-neg	0.06304189	10.23	449.3276
C18n_QI9385			C18-neg	0.241829757	10.23	474.263
C18n_QI9921			C18-neg	0.042529154	10.23	490.3539
C18n_QI10074			C18-neg	0.033084858	10.23	495.2789
C18n_QI10852			C18-neg	0.110119689	10.23	521.3838
C18n_QI13485			C18-neg	0.182456163	10.23	725.4999
C18n_QI13598			C18-neg	0.059637869	10.23	753.4067
C18n_QI4134			C18-neg	0.061497537	10.24	309.2073
C18n_QI4198			C18-neg	0.137063226	10.24	311.1836
C18n_QI4918			C18-neg	0.033083063	10.24	333.2074
C18n_QI5416			C18-neg	0.07697606	10.24	349.2028
C18n_QI8469			C18-neg	0.055221656	10.24	446.2373
C18n_QI11827			C18-neg	0.139762404	10.24	563.359
C18n_QI11946			C18-neg	0.081813442	10.24	567.3904
C18n_QI13855			C18-neg	0.084259359	10.24	823.6104
C18n_QI1248			C18-neg	0.069260093	10.25	188.9707
C18n_QI3204			C18-neg	0.088773586	10.25	277.181
C18n_QI4306			C18-neg	0.260837628	10.25	314.2422
C18n_QI8059			C18-neg	0.031340069	10.25	431.3168
C18n_QI8210			C18-neg	0.043823901	10.25	437.1281
C18n_QI9476			C18-neg	0.031741402	10.25	477.3223
C18n_QI9483			C18-neg	0.114876327	10.25	477.3576
C18n_QI10881			C18-neg	0.096348331	10.25	523.2735
C18n_QI11250			C18-neg	0.114110918	10.25	537.2895
C18n_QI11312			C18-neg	0.291387408	10.25	539.3049
C18n_QI12323			C18-neg	0.13875008	10.25	591.3545
C18n_QI5636			C18-neg	0.028677049	10.26	357.171
C18n_QI6580			C18-neg	0.117359263	10.26	386.2917
C18n_QI7564			C18-neg	0.06767484	10.26	415.2704
C18n_QI8174			C18-neg	0.030673853	10.26	435.2756
C18n_QI9860			C18-neg	0.189283565	10.26	488.3019
C18n_QI11644			C18-neg	0.08002373	10.26	553.3203
C18n_QI11863			C18-neg	0.093114807	10.26	565.3017
C18n_QI4447			C18-neg	0.150852618	10.27	317.2597
C18n_QI5571			C18-neg	0.09899344	10.27	355.1553
C18n_QI6482			C18-neg	0.100888046	10.27	383.242
C18n_QI7268			C18-neg	0.086124854	10.27	407.2804
C18n_QI8501			C18-neg	0.239068991	10.27	447.2288
C18n_QI13847			C18-neg	0.334063342	10.27	821.5939
C18n_QI3583			C18-neg	0.062298162	10.28	289.1811
C18n_QI4357			C18-neg	0.024031661	10.28	315.2543
C18n_QI6700			C18-neg	0.019451468	10.28	389.2703
C18n_QI7921			C18-neg	0.196300313	10.28	427.2441
C18n_QI8841			C18-neg	0.035967445	10.28	457.2575
C18n_QI9652			C18-neg	0.073053222	10.28	482.3281
C18n_QI9750			C18-neg	0.079166353	10.28	485.2577
C18n_QI10782			C18-neg	0.099697403	10.28	519.3689
C18n_QI10939			C18-neg	0.097934787	10.28	525.2448
C18n_QI11077			C18-neg	0.550717806	10.28	529.3321
C18n_QI11153			C18-neg	0.044897089	10.28	533.2938
C18n_QI11439			C18-neg	0.24908196	10.28	543.3205
C18n_QI11972			C18-neg	0.134631743	10.28	569.3107
C18n_QI13696			C18-neg	0.065063933	10.28	779.5476
C18n_QI13772			C18-neg	0.138091072	10.28	801.5288
C18n_QI4066			C18-neg	0.039311835	10.29	307.1916
C18n_QI5299			C18-neg	0.058614233	10.29	345.2107
C18n_QI6462			C18-neg	0.42068107	10.29	383.1767
C18n_QI6846			C18-neg	0.550401956	10.29	393.2642
C18n_QI7111			C18-neg	0.29846415	10.29	401.2657
C18n_QI8579			C18-neg	0.125053631	10.29	449.2442
C18n_QI9448			C18-neg	0.112074687	10.29	476.2626
C18n_QI9826			C18-neg	0.080920142	10.29	487.2731
C18n_QI10315			C18-neg	0.07592598	10.29	503.3378
C18n_QI10441			C18-neg	0.161442598	10.29	507.3327
C18n_QI10815			C18-neg	0.110192239	10.29	521.2432
C18n_QI10961			C18-neg	0.435471041	10.29	525.3795
C18n_QI11099			C18-neg	0.304315735	10.29	531.2028
C18n_QI11202			C18-neg	0.30094331	10.29	535.3266
C18n_QI11266			C18-neg	0.06190777	10.29	537.3421
C18n_QI11556			C18-neg	0.118248855	10.29	549.3796
C18n_QI11613			C18-neg	0.045834837	10.29	551.3954
C18n_QI11826			C18-neg	0.27748341	10.29	563.359
C18n_QI11870			C18-neg	0.282542994	10.29	565.3733
C18n_QI13364			C18-neg	0.535170414	10.29	699.4852
C18n_QI13393			C18-neg	0.21762703	10.29	707.5461
C18n_QI13776			C18-neg	0.050196474	10.29	803.5449
C18n_QI13857			C18-neg	0.178168664	10.29	823.6106
C18n_QI311			C18-neg	0.032998437	10.3	116.9273
C18n_QI4024			C18-neg	0.054361317	10.3	306.1711
C18n_QI8625			C18-neg	0.114278761	10.3	450.2861
C18n_QI8742			C18-neg	0.255590288	10.3	453.3225
C18n_QI9239			C18-neg	0.113338586	10.3	469.3178
C18n_QI9269			C18-neg	0.371039186	10.3	470.2917
C18n_QI10848			C18-neg	0.097743007	10.3	521.3481
C18n_QI11324			C18-neg	0.024580085	10.3	539.3584
C18n_QI11395			C18-neg	0.224805106	10.3	541.3751
C18n_QI13709			C18-neg	0.028363461	10.3	781.5641
C18n_QI13783			C18-neg	0.025533345	10.3	805.5602
C18n_QI252			C18-neg	0.351314173	10.31	114.9327
C18n_QI8668			C18-neg	0.064939484	10.31	451.3062
C18n_QI9942			C18-neg	0.116391471	10.31	491.3015
C18n_QI10595			C18-neg	0.113925136	10.31	513.3432
C18n_QI10860			C18-neg	0.222964123	10.31	522.2857
C18n_QI10915			C18-neg	0.079685385	10.31	523.3638
C18n_QI12175			C18-neg	0.112288112	10.31	582.3434
C18n_QI12218			C18-neg	0.042614318	10.31	584.359
C18n_QI13838			C18-neg	0.182739139	10.31	819.5547
C18n_QI3910			C18-neg	0.347511646	10.32	301.6272
C18n_QI5314			C18-neg	0.129429936	10.32	345.2798
C18n_QI5370			C18-neg	0.294146092	10.32	347.2956
C18n_QI6855			C18-neg	0.019580729	10.32	393.2913
C18n_QI7664			C18-neg	0.442210303	10.32	418.2635
C18n_QI7926			C18-neg	0.091734068	10.32	427.2619
C18n_QI8225			C18-neg	0.022597209	10.32	437.2908
C18n_QI8763			C18-neg	0.069680629	10.32	454.2813
C18n_QI9928			C18-neg	0.041451012	10.32	491.2107
C18n_QI13718			C18-neg	0.025107201	10.32	783.5789
C18n_QI7825			C18-neg	0.025487572	10.33	424.247
C18n_QI13833			C18-neg	0.05563328	10.33	816.5396
C18n_QI9579			C18-neg	0.058136459	10.34	480.311
C18n_QI10930			C18-neg	0.057882277	10.34	524.302
C18n_QI10987			C18-neg	0.032640027	10.34	526.3171
C18n_QI11074			C18-neg	0.048119958	10.34	529.3255
C18n_QI12274			C18-neg	0.069306179	10.34	588.2635
C18n_QI3034			C18-neg	0.088771101	10.35	271.6333
C18n_QI12808			C18-neg	0.241929258	10.35	626.2425
C18n_QI12950			C18-neg	0.131293244	10.35	639.4109
C18n_QI11766			C18-neg	0.069079306	10.36	558.3072
C18n_QI3434			C18-neg	0.052854961	10.37	285.186
C18n_QI6460			C18-neg	0.116423412	10.37	383.1764
C18n_QI6536			C18-neg	0.206208837	10.37	385.1731
C18n_QI253			C18-neg	0.208677853	10.38	114.9327
C18n_QI5877			C18-neg	0.312713133	10.38	365.1524
C18n_QI10032			C18-neg	0.024198499	10.38	493.3174
C18n_QI4277			C18-neg	0.4030497	10.39	313.2386
C18n_QI4353			C18-neg	0.023345076	10.39	315.2542
C18n_QI6879			C18-neg	0.033150509	10.39	395.1895
C18n_QI10850			C18-neg	0.018012845	10.39	521.3483
C18n_QI11348			C18-neg	0.058545863	10.39	540.2967
C18n_QI13394			C18-neg	0.04197929	10.39	707.5465
C18n_QI4133			C18-neg	0.092058505	10.4	309.2072
C18n_QI5476			C18-neg	0.227018715	10.4	351.2309
C18n_QI9196			C18-neg	0.350496974	10.4	468.2731
C18n_QI9475			C18-neg	0.017602014	10.4	477.3223
C18n_QI11409			C18-neg	0.02571246	10.4	542.312
C18n_QI12072			C18-neg	0.130372387	10.4	574.3015
C18n_QI13869			C18-neg	0.031631509	10.4	827.6416
C18n_QI3203			C18-neg	0.048160685	10.41	277.1808
C18n_QI6278			C18-neg	0.061440198	10.41	377.2333
C18n_QI7858			C18-neg	0.044053608	10.41	425.2911
C18n_QI10350			C18-neg	0.06566809	10.41	504.3693
C18n_QI10598			C18-neg	0.052661381	10.41	513.3433
C18n_QI11384			C18-neg	0.444266172	10.41	541.3733
C18n_QI7200			C18-neg	0.144014339	10.42	405.2418
C18n_QI8580			C18-neg	0.116486609	10.42	449.2443
C18n_QI10313			C18-neg	0.323323707	10.42	503.3377
C18n_QI10960			C18-neg	0.39011799	10.42	525.3787
C18n_QI11725			C18-neg	0.116417084	10.42	556.2913
C18n_QI12976			C18-neg	0.123092779	10.42	641.4636
C18n_QI13623			C18-neg	0.129699201	10.42	761.5574
C18n_QI5510			C18-neg	0.130967707	10.43	353.1393
C18n_QI5722			C18-neg	0.071793825	10.43	359.2232
C18n_QI6040			C18-neg	0.053177141	10.43	370.2389
C18n_QI8468			C18-neg	0.033538562	10.43	446.2373
C18n_QI9829			C18-neg	0.033510318	10.43	487.2732
C18n_QI11884			C18-neg	0.1010558	10.43	565.3744
C18n_QI13861			C18-neg	0.154862231	10.43	825.6258
C18n_QI7110			C18-neg	0.056152043	10.44	401.2656
C18n_QI9384			C18-neg	0.042355411	10.44	474.2628
C18n_QI12102			C18-neg	0.060503138	10.44	577.3639
C18n_QI12390			C18-neg	0.115322605	10.44	595.3849
C18n_QI7206			C18-neg	0.131461138	10.45	405.2648
C18n_QI8453			C18-neg	0.192716593	10.45	445.2965
C18n_QI8902			C18-neg	0.028076084	10.45	459.2731
C18n_QI9949			C18-neg	0.10181327	10.45	491.3019
C18n_QI10320			C18-neg	0.240153747	10.45	503.3381
C18n_QI11535			C18-neg	0.034028024	10.45	549.2889
C18n_QI13566			C18-neg	0.206677198	10.45	745.5625
C18n_QI5584			C18-neg	0.151318447	10.46	355.2492
C18n_QI6693			C18-neg	0.237253605	10.46	389.2474
C18n_QI10775			C18-neg	0.067995579	10.46	519.3332
C18n_QI10816			C18-neg	0.090350832	10.46	521.2432
C18n_QI11001			C18-neg	0.065799175	10.46	527.2605
C18n_QI11714			C18-neg	0.11709546	10.46	555.3355
C18n_QI12341			C18-neg	0.115881839	10.46	592.2889
C18n_QI12377			C18-neg	0.127664234	10.46	594.3039
C18n_QI13858			C18-neg	0.451857057	10.46	824.6069
C18n_QI7045			C18-neg	0.05163566	10.47	399.2752
C18n_QI7813			C18-neg	0.093192901	10.47	423.2759
C18n_QI8192			C18-neg	0.108562273	10.47	436.247
C18n_QI8619			C18-neg	0.316966527	10.47	450.2619
C18n_QI9756			C18-neg	0.137677963	10.47	485.3044
C18n_QI10145			C18-neg	0.540409043	10.47	498.2633
C18n_QI10417			C18-neg	0.166090836	10.47	507.2851
C18n_QI11399			C18-neg	0.102828067	10.47	541.3755
C18n_QI11560			C18-neg	0.032890731	10.47	549.3798
C18n_QI11944			C18-neg	0.062426494	10.47	567.3903
C18n_QI12386			C18-neg	0.170155247	10.47	595.2472
C18n_QI13925			C18-neg	0.03689341	10.47	841.6208
C18n_QI4210			C18-neg	0.043162798	10.48	311.223
C18n_QI5440			C18-neg	0.044120584	10.48	350.2372
C18n_QI6184			C18-neg	0.135736902	10.48	374.2369
C18n_QI7420			C18-neg	0.040277466	10.48	411.3343
C18n_QI8681			C18-neg	0.084172073	10.48	451.3329
C18n_QI9109			C18-neg	0.140255528	10.48	465.3218
C18n_QI9237			C18-neg	0.081605092	10.48	469.3178
C18n_QI9315			C18-neg	0.110823118	10.48	471.3245
C18n_QI9362			C18-neg	0.111576431	10.48	473.2891
C18n_QI9421			C18-neg	0.033335684	10.48	475.3064
C18n_QI9627			C18-neg	0.02055344	10.48	481.3536
C18n_QI10091			C18-neg	0.060948887	10.48	495.3685
C18n_QI10201			C18-neg	0.261940882	10.48	500.2658
C18n_QI11481			C18-neg	0.078578194	10.48	545.3157
C18n_QI11612			C18-neg	0.050658074	10.48	551.3954
C18n_QI6280			C18-neg	0.043388043	10.49	377.2335
C18n_QI8800			C18-neg	0.135703488	10.49	455.317
C18n_QI8909			C18-neg	0.072488563	10.49	459.3104
C18n_QI10725			C18-neg	0.08869521	10.49	517.365
C18n_QI11299			C18-neg	0.033744127	10.49	538.3534
C18n_QI11808			C18-neg	0.027820627	10.49	562.3149
C18n_QI12142			C18-neg	0.099478029	10.49	580.3279
C18n_QI4261			C18-neg	0.07285748	10.5	313.1448
C18n_QI8602			C18-neg	0.0832085	10.5	449.2942
C18n_QI10524			C18-neg	0.045234158	10.5	511.2737
C18n_QI13863			C18-neg	0.119372645	10.5	825.6265
C18n_QI1232			C18-neg	0.075935215	10.51	188.9704
C18n_QI4280			C18-neg	0.044636657	10.51	313.2387
C18n_QI9562			C18-neg	0.023889437	10.51	479.3383
C18n_QI10210			C18-neg	0.230440996	10.51	500.3136
C18n_QI10371			C18-neg	0.068141637	10.51	505.3177
C18n_QI12224			C18-neg	0.145700157	10.51	585.3014
C18n_QI12467			C18-neg	0.21355167	10.51	600.3179
C18n_QI2260			C18-neg	0.036853705	10.52	243.1964
C18n_QI6290			C18-neg	0.116098206	10.52	377.2717
C18n_QI8046			C18-neg	0.034065401	10.52	431.2805
C18n_QI9081			C18-neg	0.218206068	10.52	465.2314
C18n_QI10193			C18-neg	0.08587316	10.52	499.3662
C18n_QI11600			C18-neg	0.04067615	10.52	551.3051
C18n_QI2179			C18-neg	0.166944871	10.53	241.217
C18n_QI8525			C18-neg	0.022140835	10.53	447.312
C18n_QI9777			C18-neg	0.018497274	10.53	485.3274
C18n_QI9953			C18-neg	0.063357333	10.53	491.3379
C18n_QI10248			C18-neg	0.040951394	10.53	501.3206
C18n_QI10393			C18-neg	0.080258798	10.53	506.2498
C18n_QI10534			C18-neg	0.097582346	10.53	511.3099
C18n_QI10646			C18-neg	0.036933081	10.53	515.2999
C18n_QI11637			C18-neg	0.026343924	10.53	553.3172
C18n_QI12160			C18-neg	0.052592687	10.53	581.3143
C18n_QI12978			C18-neg	0.095250824	10.53	641.4639
C18n_QI3156			C18-neg	0.108173237	10.54	275.2019
C18n_QI3664			C18-neg	0.023580289	10.54	293.2125
C18n_QI7199			C18-neg	0.08883817	10.54	405.2417
C18n_QI7566			C18-neg	0.020254698	10.54	415.2704
C18n_QI8050			C18-neg	0.141395635	10.54	431.3165
C18n_QI8120			C18-neg	0.019921527	10.54	433.3324
C18n_QI10330			C18-neg	0.075257394	10.54	503.3382
C18n_QI10386			C18-neg	0.02570683	10.54	505.3541
C18n_QI11125			C18-neg	0.046164469	10.54	531.3321
C18n_QI11401			C18-neg	0.092478211	10.54	541.4109
C18n_QI12232			C18-neg	0.361516968	10.54	585.4139
C18n_QI13624			C18-neg	0.114883431	10.54	761.558
C18n_QI2111			C18-neg	0.042538676	10.55	239.1263
C18n_QI3729			C18-neg	0.095643981	10.55	295.2279
C18n_QI3876			C18-neg	0.073926602	10.55	301.0971
C18n_QI5902			C18-neg	0.160508946	10.55	365.2676
C18n_QI7291			C18-neg	0.025123202	10.55	408.2523
C18n_QI8512			C18-neg	0.063296608	10.55	447.2759
C18n_QI8555			C18-neg	0.376842098	10.55	448.2785
C18n_QI8622			C18-neg	0.066991905	10.55	450.263
C18n_QI9568			C18-neg	0.219701092	10.55	479.3748
C18n_QI10577			C18-neg	0.042129583	10.55	513.2891
C18n_QI11799			C18-neg	0.208334148	10.55	561.3411
C18n_QI12574			C18-neg	0.07799038	10.55	607.4943
C18n_QI12992			C18-neg	0.07505281	10.55	643.4555
C18n_QI13926			C18-neg	0.054312577	10.55	841.621
C18n_QI4135			C18-neg	0.049059363	10.56	309.2074
C18n_QI5743			C18-neg	0.088015485	10.56	360.2581
C18n_QI8611			C18-neg	0.017665271	10.56	449.3277
C18n_QI9032			C18-neg	0.047330058	10.56	463.343
C18n_QI9757			C18-neg	0.143104106	10.56	485.3049
C18n_QI10112			C18-neg	0.031038403	10.56	496.3365
C18n_QI10418			C18-neg	0.108171357	10.56	507.2856
C18n_QI10702			C18-neg	0.024788028	10.56	517.3148
C18n_QI11480			C18-neg	0.047733466	10.56	545.3152
C18n_QI13839			C18-neg	0.0874451	10.56	819.6
C18n_QI2955			C18-neg	0.045448335	10.57	269.2124
C18n_QI11400			C18-neg	0.27159561	10.57	541.376
C18n_QI11717			C18-neg	0.192309078	10.57	555.336
C18n_QI12225			C18-neg	0.057413717	10.57	585.3021
C18n_QI3854			C18-neg	0.180278648	10.58	300.1396
C18n_QI7805			C18-neg	0.0794998	10.58	423.2757
C18n_QI8626			C18-neg	0.029454422	10.58	450.2866
C18n_QI9025			C18-neg	0.164146194	10.58	463.3071
C18n_QI12452			C18-neg	0.276337591	10.58	599.3198
C18n_QI6106			C18-neg	0.09750799	10.59	372.1277
C18n_QI7203			C18-neg	0.090740011	10.59	405.2642
C18n_QI7270			C18-neg	0.041487198	10.59	407.2805
C18n_QI8116			C18-neg	0.02817042	10.59	433.2965
C18n_QI9190			C18-neg	0.036979715	10.59	468.237
C18n_QI9655			C18-neg	0.295430397	10.59	482.3287
C18n_QI9950			C18-neg	0.043339116	10.59	491.3021
C18n_QI10396			C18-neg	0.251327553	10.59	506.25
C18n_QI11976			C18-neg	0.090178544	10.59	569.3126
C18n_QI12556			C18-neg	0.052865149	10.59	607.349
C18n_QI12977			C18-neg	0.114666032	10.59	641.4638
C18n_QI12391			C18-neg	0.050839526	10.6	595.3854
C18n_QI4610			C18-neg	0.069416561	10.61	323.223
C18n_QI5613			C18-neg	0.199059867	10.61	356.2633
C18n_QI7635			C18-neg	0.206491911	10.61	417.2654
C18n_QI9567			C18-neg	0.069450629	10.61	479.3743
C18n_QI10094			C18-neg	0.151920537	10.61	495.369
C18n_QI13473			C18-neg	0.271140233	10.61	723.3819
C18n_QI5933			C18-neg	0.031535744	10.62	367.1588
C18n_QI6029			C18-neg	0.026556713	10.62	369.2648
C18n_QI6152			C18-neg	0.08664494	10.62	373.2028
C18n_QI8454			C18-neg	0.163004192	10.62	445.2965
C18n_QI8683			C18-neg	0.093951653	10.62	451.344
C18n_QI8797			C18-neg	0.173334494	10.62	455.2933
C18n_QI9115			C18-neg	0.047279789	10.62	465.3221
C18n_QI9490			C18-neg	0.047763087	10.62	477.3585
C18n_QI6987			C18-neg	0.074067477	10.63	398.2662
C18n_QI8201			C18-neg	0.052025607	10.63	436.3435
C18n_QI8584			C18-neg	0.094649978	10.63	449.2567
C18n_QI8972			C18-neg	0.10784436	10.63	461.3279
C18n_QI9838			C18-neg	0.109933644	10.63	487.3198
C18n_QI10137			C18-neg	0.029198394	10.63	497.3487
C18n_QI10328			C18-neg	0.056270976	10.63	503.3382
C18n_QI10624			C18-neg	0.089327513	10.63	514.3394
C18n_QI10971			C18-neg	0.014993489	10.63	525.3804
C18n_QI11339			C18-neg	0.028239914	10.63	540.2641
C18n_QI11393			C18-neg	0.107171971	10.63	541.3751
C18n_QI11883			C18-neg	0.202500733	10.63	565.3744
C18n_QI12687			C18-neg	0.038713942	10.63	616.1931
C18n_QI7063			C18-neg	0.166695557	10.64	400.2323
C18n_QI9236			C18-neg	0.141208667	10.64	469.3177
C18n_QI10273			C18-neg	0.356607154	10.64	502.324
C18n_QI10700			C18-neg	0.053604083	10.64	517.2956
C18n_QI11021			C18-neg	0.256769836	10.64	527.3217
C18n_QI12769			C18-neg	0.053083248	10.64	623.3802
C18n_QI13656			C18-neg	0.063994701	10.64	767.6047
C18n_QI2175			C18-neg	0.034131273	10.65	241.1807
C18n_QI3855			C18-neg	0.240373972	10.65	300.1397
C18n_QI4359			C18-neg	0.017992871	10.65	315.2545
C18n_QI4448			C18-neg	0.032801327	10.65	317.2601
C18n_QI5477			C18-neg	0.123929345	10.65	351.231
C18n_QI6155			C18-neg	0.103132432	10.65	373.2125
C18n_QI6188			C18-neg	0.085387329	10.65	374.2911
C18n_QI6481			C18-neg	0.026291509	10.65	383.2418
C18n_QI7359			C18-neg	0.02899199	10.65	409.3438
C18n_QI8659			C18-neg	0.07353752	10.65	451.2293
C18n_QI11444			C18-neg	0.096188731	10.65	543.333
C18n_QI12850			C18-neg	0.033515699	10.65	631.3857
C18n_QI12859			C18-neg	0.106818521	10.65	631.5156
C18n_QI13072			C18-neg	0.091844221	10.65	653.4975
C18n_QI5044			C18-neg	0.134998971	10.66	337.2384
C18n_QI6281			C18-neg	0.034805771	10.66	377.2336
C18n_QI7202			C18-neg	0.119801254	10.66	405.2418
C18n_QI7724			C18-neg	0.083607886	10.66	420.2529
C18n_QI10742			C18-neg	0.099813116	10.66	518.3035
C18n_QI11427			C18-neg	0.03159729	10.66	543.2578
C18n_QI11519			C18-neg	0.068211736	10.66	547.3641
C18n_QI2949			C18-neg	0.076081812	10.67	269.2123
C18n_QI4138			C18-neg	0.037847713	10.67	309.2074
C18n_QI4307			C18-neg	0.140845827	10.67	314.2428
C18n_QI5104			C18-neg	0.063040459	10.67	339.2543
C18n_QI7064			C18-neg	0.3189513	10.67	400.2788
C18n_QI7703			C18-neg	0.05118232	10.67	419.2807
C18n_QI8743			C18-neg	0.01447488	10.67	453.3226
C18n_QI9654			C18-neg	0.030317993	10.67	482.3284
C18n_QI10239			C18-neg	0.2187113	10.67	501.3019
C18n_QI10241			C18-neg	0.176036741	10.67	501.3173
C18n_QI11297			C18-neg	0.053974913	10.67	538.3531
C18n_QI11939			C18-neg	0.100081977	10.67	567.3901
C18n_QI8175			C18-neg	0.098322241	10.68	435.2756
C18n_QI9317			C18-neg	0.103980821	10.68	471.325
C18n_QI10213			C18-neg	0.181611602	10.68	500.3684
C18n_QI11484			C18-neg	0.168377929	10.68	545.3275
C18n_QI4215			C18-neg	0.029586439	10.69	311.2231
C18n_QI7292			C18-neg	0.019319178	10.69	408.2527
C18n_QI8873			C18-neg	0.06113763	10.69	457.3327
C18n_QI9631			C18-neg	0.021620254	10.69	481.3538
C18n_QI10096			C18-neg	0.051508391	10.69	495.3695
C18n_QI10238			C18-neg	0.066591944	10.69	501.3019
C18n_QI11822			C18-neg	0.088806442	10.69	563.3587
C18n_QI7483			C18-neg	0.059807893	10.7	413.2548
C18n_QI7727			C18-neg	0.04409111	10.7	420.3123
C18n_QI8965			C18-neg	0.066825504	10.7	461.3277
C18n_QI9370			C18-neg	0.070321985	10.7	473.2907
C18n_QI9961			C18-neg	0.037079266	10.7	491.3382
C18n_QI12453			C18-neg	0.245392154	10.7	599.3208
C18n_QI6664			C18-neg	0.056580819	10.71	388.3072
C18n_QI7931			C18-neg	0.762707555	10.71	427.2876
C18n_QI8623			C18-neg	0.054178828	10.71	450.263
